indiv_ind_ts_code,indiv_ind_trade_date,indiv_ind_close,indiv_ind_open,indiv_ind_high,indiv_ind_low,indiv_ind_pre_close,indiv_ind_change,indiv_ind_pct_chg,indiv_ind_vol,indiv_ind_amount
000905.SH,20250103,5427.8041,5552.75,5581.3978,5419.7429,5545.8174,-118.0133,-2.128,174077310.0,187233075.271
000905.SH,20250102,5545.8174,5717.9157,5722.1107,5498.8216,5725.7324,-179.915,-3.1422,193763157.0,220078999.057
000905.SH,20241231,5725.7324,5902.033,5905.463,5725.7324,5898.884,-173.1516,-2.9353,182158855.0,217194009.079
000905.SH,20241230,5898.884,5890.4633,5928.5718,5867.8538,5899.1665,-0.2825,-0.0048,155565586.0,196182578.97
000905.SH,20241227,5899.1665,5892.6943,5975.7919,5881.7173,5887.0605,12.106,0.2056,179085498.0,236680633.736
000905.SH,20241226,5887.0605,5830.7212,5897.4827,5830.7212,5840.2889,46.7716,0.8008,145319444.0,201723277.582
000905.SH,20241225,5840.2889,5896.4295,5897.5101,5796.6475,5895.2595,-54.9706,-0.9325,157279132.0,191269446.368
000905.SH,20241224,5895.2595,5827.1597,5897.1946,5827.1597,5818.551,76.7085,1.3183,167365824.0,196112525.346
000905.SH,20241223,5818.551,5917.6939,5935.1523,5815.3415,5917.1751,-98.6241,-1.6667,177315486.0,217347047.188
000905.SH,20241220,5917.1751,5889.946,5962.4154,5889.946,5901.9155,15.2596,0.2586,178090399.0,221132517.266
000905.SH,20241219,5901.9155,5829.2631,5918.4895,5816.4729,5888.6162,13.2993,0.2258,196531194.0,211287492.264
000905.SH,20241218,5888.6162,5861.2624,5921.9798,5853.1628,5848.1628,40.4534,0.6917,187996290.0,193282038.369
000905.SH,20241217,5848.1628,5896.9676,5924.6244,5837.2514,5912.6014,-64.4386,-1.0899,193108547.0,204630242.338
000905.SH,20241216,5912.6014,5983.1598,5991.5772,5888.0426,5988.292,-75.6906,-1.264,214647441.0,241790858.877
000905.SH,20241213,5988.292,6065.9542,6065.9542,5988.292,6100.3945,-112.1025,-1.8376,286328198.0,307316221.178
000905.SH,20241212,6100.3945,6048.7814,6107.7146,6023.2343,6047.105,53.2895,0.8812,243653690.0,258380795.571
000905.SH,20241211,6047.105,5973.326,6051.4718,5972.2696,5992.0937,55.0113,0.9181,253883941.0,250011474.489
000905.SH,20241210,5992.0937,6132.291,6141.0655,5982.5833,5947.1089,44.9848,0.7564,320527823.0,324711288.431
000905.SH,20241209,5947.1089,5983.3343,6004.2343,5911.3619,5979.197,-32.0881,-0.5367,284462209.0,237294662.392
000905.SH,20241206,5979.197,5903.4988,6011.7691,5877.0434,5901.9859,77.2111,1.3082,265329536.0,255600553.068
000905.SH,20241205,5901.9859,5855.7419,5923.6243,5853.527,5879.2695,22.7164,0.3864,198542236.0,212251881.677
000905.SH,20241204,5879.2695,5929.4763,5940.8545,5850.9094,5932.1207,-52.8512,-0.8909,215991634.0,234212942.759
000905.SH,20241203,5932.1207,5946.7352,5954.6607,5877.8012,5943.6245,-11.5038,-0.1935,209870509.0,229346951.927
