indiv_adj_d_ts_code,indiv_adj_d_trade_date,indiv_adj_d_adj_factor
510500.SH,20241118,0.326
510500.SH,20241115,0.326
510500.SH,20241114,0.326
510500.SH,20241113,0.326
510500.SH,20241112,0.326
510500.SH,20241111,0.326
510500.SH,20241108,0.326
510500.SH,20241107,0.326
510500.SH,20241106,0.326
510500.SH,20241105,0.326
510500.SH,20241104,0.326
510500.SH,20241101,0.326
510500.SH,20241031,0.326
510500.SH,20241030,0.326
510500.SH,20241029,0.326
510500.SH,20241028,0.326
510500.SH,20241025,0.326
510500.SH,20241024,0.326
510500.SH,20241023,0.326
510500.SH,20241022,0.326
510500.SH,20241021,0.326
510500.SH,20241018,0.326
510500.SH,20241017,0.326
510500.SH,20241016,0.326
510500.SH,20241015,0.326
510500.SH,20241014,0.326
510500.SH,20241011,0.326
510500.SH,20241010,0.326
510500.SH,20241009,0.326
510500.SH,20241008,0.326
510500.SH,20240930,0.326
510500.SH,20240927,0.326
510500.SH,20240926,0.326
510500.SH,20240925,0.326
510500.SH,20240924,0.326
510500.SH,20240923,0.326
510500.SH,20240920,0.326
510500.SH,20240919,0.326
510500.SH,20240918,0.326
510500.SH,20240913,0.326
510500.SH,20240912,0.326
510500.SH,20240911,0.326
510500.SH,20240910,0.326
510500.SH,20240909,0.326
510500.SH,20240906,0.326
510500.SH,20240905,0.326
510500.SH,20240904,0.326
510500.SH,20240903,0.326
510500.SH,20240902,0.326
510500.SH,20240830,0.326
510500.SH,20240829,0.326
510500.SH,20240828,0.326
510500.SH,20240827,0.326
510500.SH,20240826,0.326
510500.SH,20240823,0.326
510500.SH,20240822,0.326
510500.SH,20240821,0.326
510500.SH,20240820,0.326
510500.SH,20240819,0.326
510500.SH,20240816,0.326
510500.SH,20240815,0.326
510500.SH,20240814,0.326
510500.SH,20240813,0.326
510500.SH,20240812,0.326
510500.SH,20240809,0.326
510500.SH,20240808,0.326
510500.SH,20240807,0.326
510500.SH,20240806,0.326
510500.SH,20240805,0.326
510500.SH,20240802,0.326
510500.SH,20240801,0.326
510500.SH,20240731,0.326
510500.SH,20240730,0.326
510500.SH,20240729,0.326
510500.SH,20240726,0.326
510500.SH,20240725,0.326
510500.SH,20240724,0.326
510500.SH,20240723,0.326
510500.SH,20240722,0.326
510500.SH,20240719,0.326
510500.SH,20240718,0.326
510500.SH,20240717,0.326
510500.SH,20240716,0.326
510500.SH,20240715,0.326
510500.SH,20240712,0.326
510500.SH,20240711,0.326
510500.SH,20240710,0.326
510500.SH,20240709,0.326
510500.SH,20240708,0.326
510500.SH,20240705,0.326
510500.SH,20240704,0.326
510500.SH,20240703,0.326
510500.SH,20240702,0.326
510500.SH,20240701,0.326
510500.SH,20240628,0.326
510500.SH,20240627,0.326
510500.SH,20240626,0.326
510500.SH,20240625,0.326
510500.SH,20240624,0.326
510500.SH,20240621,0.326
510500.SH,20240620,0.326
510500.SH,20240619,0.326
510500.SH,20240618,0.326
510500.SH,20240617,0.326
510500.SH,20240614,0.326
510500.SH,20240613,0.326
510500.SH,20240612,0.326
510500.SH,20240611,0.326
510500.SH,20240607,0.326
510500.SH,20240606,0.326
510500.SH,20240605,0.326
510500.SH,20240604,0.326
510500.SH,20240603,0.326
510500.SH,20240531,0.326
510500.SH,20240530,0.326
510500.SH,20240529,0.326
510500.SH,20240528,0.326
510500.SH,20240527,0.326
510500.SH,20240524,0.326
510500.SH,20240523,0.326
510500.SH,20240522,0.326
510500.SH,20240521,0.326
510500.SH,20240520,0.326
510500.SH,20240517,0.326
510500.SH,20240516,0.321
510500.SH,20240515,0.321
510500.SH,20240514,0.321
510500.SH,20240513,0.321
510500.SH,20240510,0.321
510500.SH,20240509,0.321
510500.SH,20240508,0.321
510500.SH,20240507,0.321
510500.SH,20240506,0.321
510500.SH,20240430,0.321
510500.SH,20240429,0.321
510500.SH,20240426,0.321
510500.SH,20240425,0.321
510500.SH,20240424,0.321
510500.SH,20240423,0.321
510500.SH,20240422,0.321
510500.SH,20240419,0.321
510500.SH,20240418,0.321
510500.SH,20240417,0.321
510500.SH,20240416,0.321
510500.SH,20240415,0.321
510500.SH,20240412,0.321
510500.SH,20240411,0.321
510500.SH,20240410,0.321
510500.SH,20240409,0.321
510500.SH,20240408,0.321
510500.SH,20240403,0.321
510500.SH,20240402,0.321
510500.SH,20240401,0.321
510500.SH,20240329,0.321
510500.SH,20240328,0.321
510500.SH,20240327,0.321
510500.SH,20240326,0.321
510500.SH,20240325,0.321
510500.SH,20240322,0.321
510500.SH,20240321,0.321
510500.SH,20240320,0.321
510500.SH,20240319,0.321
510500.SH,20240318,0.321
510500.SH,20240315,0.321
510500.SH,20240314,0.321
510500.SH,20240313,0.321
510500.SH,20240312,0.321
510500.SH,20240311,0.321
510500.SH,20240308,0.321
510500.SH,20240307,0.321
510500.SH,20240306,0.321
510500.SH,20240305,0.321
510500.SH,20240304,0.321
510500.SH,20240301,0.321
510500.SH,20240229,0.321
510500.SH,20240228,0.321
510500.SH,20240227,0.321
510500.SH,20240226,0.321
510500.SH,20240223,0.321
510500.SH,20240222,0.321
510500.SH,20240221,0.321
510500.SH,20240220,0.321
510500.SH,20240219,0.321
510500.SH,20240208,0.321
510500.SH,20240207,0.321
510500.SH,20240206,0.321
510500.SH,20240205,0.321
510500.SH,20240202,0.321
510500.SH,20240201,0.321
510500.SH,20240131,0.321
510500.SH,20240130,0.321
510500.SH,20240129,0.321
510500.SH,20240126,0.321
510500.SH,20240125,0.321
510500.SH,20240124,0.321
510500.SH,20240123,0.321
510500.SH,20240122,0.321
510500.SH,20240119,0.321
510500.SH,20240118,0.321
510500.SH,20240117,0.321
510500.SH,20240116,0.321
510500.SH,20240115,0.321
510500.SH,20240112,0.321
510500.SH,20240111,0.321
510500.SH,20240110,0.321
510500.SH,20240109,0.321
510500.SH,20240108,0.321
510500.SH,20240105,0.321
510500.SH,20240104,0.321
510500.SH,20240103,0.321
510500.SH,20240102,0.321
510500.SH,20231229,0.321
510500.SH,20231228,0.321
510500.SH,20231227,0.321
510500.SH,20231226,0.321
510500.SH,20231225,0.321
510500.SH,20231222,0.321
510500.SH,20231221,0.321
510500.SH,20231220,0.321
510500.SH,20231219,0.321
510500.SH,20231218,0.321
510500.SH,20231215,0.321
510500.SH,20231214,0.321
510500.SH,20231213,0.321
510500.SH,20231212,0.321
510500.SH,20231211,0.321
510500.SH,20231208,0.321
510500.SH,20231207,0.321
510500.SH,20231206,0.321
510500.SH,20231205,0.321
510500.SH,20231204,0.321
510500.SH,20231201,0.321
510500.SH,20231130,0.321
510500.SH,20231129,0.321
510500.SH,20231128,0.321
510500.SH,20231127,0.321
510500.SH,20231124,0.321
510500.SH,20231123,0.321
510500.SH,20231122,0.321
510500.SH,20231121,0.321
510500.SH,20231120,0.321
510500.SH,20231117,0.321
510500.SH,20231116,0.321
510500.SH,20231115,0.321
510500.SH,20231114,0.321
510500.SH,20231113,0.321
510500.SH,20231110,0.321
510500.SH,20231109,0.321
510500.SH,20231108,0.321
510500.SH,20231107,0.321
510500.SH,20231106,0.321
510500.SH,20231103,0.321
510500.SH,20231102,0.321
510500.SH,20231101,0.321
510500.SH,20231031,0.321
510500.SH,20231030,0.321
510500.SH,20231027,0.321
510500.SH,20231026,0.321
510500.SH,20231025,0.321
510500.SH,20231024,0.321
510500.SH,20231023,0.321
510500.SH,20231020,0.321
510500.SH,20231019,0.321
510500.SH,20231018,0.321
510500.SH,20231017,0.321
510500.SH,20231016,0.321
510500.SH,20231013,0.321
510500.SH,20231012,0.321
510500.SH,20231011,0.321
510500.SH,20231010,0.321
510500.SH,20231009,0.321
510500.SH,20230928,0.321
510500.SH,20230927,0.321
510500.SH,20230926,0.321
510500.SH,20230925,0.321
