indiv_chip_ts_code,indiv_chip_trade_date,indiv_chip_his_low,indiv_chip_his_high,indiv_chip_cost_5pct,indiv_chip_cost_15pct,indiv_chip_cost_50pct,indiv_chip_cost_85pct,indiv_chip_cost_95pct,indiv_chip_weight_avg,indiv_chip_winner_rate
600036.SH,20251023,1.2,47.2,26.8,32.0,41.2,44.0,45.2,39.18,63.75
600036.SH,20251022,1.2,47.2,26.8,32.0,41.2,44.0,45.2,39.18,59.32
600036.SH,20251021,1.2,47.2,26.8,32.0,41.2,44.0,45.2,39.16,59.34
600036.SH,20251020,1.2,47.2,26.8,32.0,41.2,44.0,45.2,39.17,55.08
600036.SH,20251017,1.2,47.2,26.8,32.0,40.8,44.0,45.2,39.13,54.94
600036.SH,20251016,1.2,47.2,26.8,32.0,40.8,44.0,45.2,39.1,58.91
600036.SH,20251015,1.2,47.2,26.8,32.0,40.8,44.0,45.2,39.07,55.49
600036.SH,20251014,1.2,47.2,26.8,31.6,40.8,44.0,45.2,39.07,55.23
600036.SH,20251013,1.2,47.2,26.4,31.6,40.8,44.0,45.2,39.05,42.76
600036.SH,20251010,1.2,47.2,26.4,31.6,40.8,44.0,45.2,39.06,42.36
600036.SH,20251009,1.2,47.2,26.4,31.6,40.8,44.0,45.2,39.04,42.31
600036.SH,20250930,1.2,47.2,26.4,31.6,41.2,44.4,45.2,39.03,45.7
600036.SH,20250929,1.2,47.2,26.4,31.2,41.2,44.4,45.2,39.04,45.45
600036.SH,20250926,1.2,47.2,26.4,31.2,41.2,44.4,45.2,39.04,45.41
600036.SH,20250925,1.2,47.2,26.4,31.2,41.2,44.4,45.2,39.03,48.51
600036.SH,20250924,1.2,47.2,26.4,31.2,41.2,44.4,45.2,39.03,51.77
600036.SH,20250923,1.2,47.2,26.4,31.2,41.2,44.4,45.2,39.02,51.77
600036.SH,20250922,1.2,47.2,26.4,31.2,41.2,44.4,45.2,39.01,48.88
600036.SH,20250919,1.2,47.2,26.4,31.2,41.2,44.4,45.2,39.0,48.72
600036.SH,20250918,1.2,47.2,26.4,31.2,41.2,44.4,45.2,38.98,48.58
600036.SH,20250917,1.2,47.2,26.4,31.2,41.2,44.4,45.2,38.97,53.01
600036.SH,20250916,1.2,47.2,26.4,31.2,41.2,44.4,45.2,38.96,53.01
600036.SH,20250915,1.2,47.2,26.4,31.2,41.2,44.4,45.2,38.94,56.73
600036.SH,20250912,1.2,47.2,26.4,31.2,41.2,44.4,45.2,38.93,61.65
600036.SH,20250911,1.2,47.2,26.4,31.2,41.2,44.4,45.2,38.9,74.56
600036.SH,20250910,1.2,47.2,26.4,31.2,40.8,44.4,45.2,38.89,67.76
600036.SH,20250909,1.2,47.2,26.4,31.2,40.8,44.4,45.2,38.87,67.62
600036.SH,20250908,1.2,47.2,26.4,31.2,40.8,44.4,45.2,38.86,62.31
600036.SH,20250905,1.2,47.2,26.4,30.8,40.8,44.4,45.2,38.85,62.28
600036.SH,20250904,1.2,47.2,26.4,30.8,40.8,44.4,45.2,38.82,67.01
600036.SH,20250903,1.2,47.2,26.4,30.8,40.8,44.4,45.2,38.81,66.84
600036.SH,20250902,1.2,47.2,26.4,30.8,40.4,44.4,45.2,38.77,73.22
600036.SH,20250901,1.2,47.2,26.4,30.8,40.4,44.4,45.2,38.72,56.91
600036.SH,20250829,1.2,47.2,26.4,30.8,40.4,44.4,45.2,38.69,66.27
600036.SH,20250828,1.2,47.2,26.4,30.8,40.4,44.4,45.2,38.63,67.02
600036.SH,20250827,1.2,47.2,26.4,30.8,40.4,44.4,45.2,38.6,67.03
600036.SH,20250826,1.2,47.2,26.4,30.8,40.0,44.4,45.2,38.57,72.52
600036.SH,20250825,1.2,47.2,26.4,30.8,40.0,44.4,45.2,38.54,77.47
600036.SH,20250822,1.2,47.2,26.4,30.8,40.0,44.4,45.6,38.5,73.05
600036.SH,20250821,1.2,47.2,26.4,30.8,40.0,44.4,45.6,38.48,72.87
600036.SH,20250820,1.2,47.2,26.4,30.8,40.0,44.4,45.6,38.46,72.82
600036.SH,20250819,1.2,47.2,26.4,30.8,40.0,44.8,45.6,38.43,72.83
600036.SH,20250818,1.2,47.2,26.4,30.8,40.0,44.8,45.6,38.42,72.97
600036.SH,20250815,1.2,47.2,26.4,30.8,40.0,44.8,45.6,38.37,73.05
600036.SH,20250814,1.2,47.2,26.4,30.8,39.6,44.8,45.6,38.33,76.34
600036.SH,20250813,1.2,47.2,26.4,30.8,39.6,44.8,45.6,38.31,73.72
600036.SH,20250812,1.2,47.2,26.4,30.4,39.6,44.8,45.6,38.27,76.34
600036.SH,20250811,1.2,47.2,26.4,30.4,39.6,44.8,45.6,38.24,80.0
600036.SH,20250808,1.2,47.2,26.4,30.4,39.6,44.8,45.6,38.2,84.22
600036.SH,20250807,1.2,47.2,26.4,30.4,39.6,44.8,45.6,38.19,90.08
600036.SH,20250806,1.2,47.2,26.4,30.4,39.6,44.8,45.6,38.16,90.39
600036.SH,20250805,1.2,47.2,26.4,30.4,39.6,44.4,45.6,38.13,94.86
600036.SH,20250804,1.2,47.2,26.4,30.4,39.2,44.4,45.6,38.1,90.86
600036.SH,20250801,1.2,47.2,26.4,30.4,39.2,44.4,45.6,38.08,85.77
600036.SH,20250731,1.2,47.2,26.4,30.4,39.2,44.4,45.6,38.05,85.88
600036.SH,20250730,1.2,47.2,26.4,30.4,39.2,44.4,45.6,38.01,85.78
600036.SH,20250729,1.2,47.2,26.4,30.4,39.2,44.4,45.6,37.97,82.67
600036.SH,20250728,1.2,47.2,26.4,30.4,39.2,44.4,45.6,37.94,85.65
600036.SH,20250725,1.2,47.2,26.4,30.4,39.2,44.4,45.6,37.91,90.61
600036.SH,20250724,1.2,47.2,26.4,30.4,39.2,44.4,45.6,37.86,90.6
600036.SH,20250723,1.2,47.2,26.4,30.4,39.2,44.4,45.6,37.81,90.83
600036.SH,20250722,1.2,47.2,26.4,30.4,39.2,44.0,45.6,37.75,91.51
600036.SH,20250721,1.2,47.2,26.0,30.4,38.8,44.0,45.6,37.69,91.49
600036.SH,20250718,1.2,47.2,26.0,30.4,38.8,44.0,45.6,37.64,91.74
600036.SH,20250717,1.2,47.2,26.0,30.4,38.8,44.0,45.6,37.62,91.78
600036.SH,20250716,1.2,47.2,26.0,30.4,38.8,43.6,45.6,37.59,91.98
600036.SH,20250715,1.2,47.2,26.0,30.4,38.8,43.6,45.6,37.56,94.88
600036.SH,20250714,1.2,47.2,26.0,30.4,38.8,43.6,45.2,37.52,95.04
600036.SH,20250711,1.2,47.2,26.0,30.4,38.8,43.6,45.2,37.46,97.28
600036.SH,20250710,1.2,47.2,26.0,30.0,38.8,43.2,45.2,37.37,98.88
600036.SH,20250709,1.2,47.2,26.0,30.0,38.4,43.2,44.8,37.26,95.39
600036.SH,20250708,1.2,47.2,26.0,30.0,38.4,43.2,44.8,37.22,98.79
600036.SH,20250707,1.2,47.2,26.0,30.0,38.4,43.2,44.8,37.16,98.06
600036.SH,20250704,1.2,47.2,26.0,30.0,38.4,43.2,44.8,37.12,96.6
600036.SH,20250703,1.2,47.2,26.0,30.0,38.4,42.8,44.4,37.1,95.13
600036.SH,20250702,1.2,47.2,26.0,30.0,38.4,42.8,44.4,37.06,96.92
600036.SH,20250701,1.2,47.2,26.0,30.0,38.4,42.8,44.4,37.02,95.84
600036.SH,20250630,1.2,47.2,26.0,30.0,38.4,42.8,44.4,37.0,94.68
