indiv_fin_ts_code,indiv_fin_ann_date,indiv_fin_end_date,indiv_fin_eps,indiv_fin_dt_eps,indiv_fin_total_revenue_ps,indiv_fin_revenue_ps,indiv_fin_capital_rese_ps,indiv_fin_surplus_rese_ps,indiv_fin_undist_profit_ps,indiv_fin_extra_item,indiv_fin_profit_dedt,indiv_fin_gross_margin,indiv_fin_current_ratio,indiv_fin_quick_ratio,indiv_fin_cash_ratio,indiv_fin_ar_turn,indiv_fin_ca_turn,indiv_fin_fa_turn,indiv_fin_assets_turn,indiv_fin_op_income,indiv_fin_ebit,indiv_fin_ebitda,indiv_fin_fcff,indiv_fin_fcfe,indiv_fin_current_exint,indiv_fin_noncurrent_exint,indiv_fin_interestdebt,indiv_fin_netdebt,indiv_fin_tangible_asset,indiv_fin_working_capital,indiv_fin_networking_capital,indiv_fin_invest_capital,indiv_fin_retained_earnings,indiv_fin_diluted2_eps,indiv_fin_bps,indiv_fin_ocfps,indiv_fin_retainedps,indiv_fin_cfps,indiv_fin_ebit_ps,indiv_fin_fcff_ps,indiv_fin_fcfe_ps,indiv_fin_netprofit_margin,indiv_fin_grossprofit_margin,indiv_fin_cogs_of_sales,indiv_fin_expense_of_sales,indiv_fin_profit_to_gr,indiv_fin_saleexp_to_gr,indiv_fin_adminexp_of_gr,indiv_fin_finaexp_of_gr,indiv_fin_impai_ttm,indiv_fin_gc_of_gr,indiv_fin_op_of_gr,indiv_fin_ebit_of_gr,indiv_fin_roe,indiv_fin_roe_waa,indiv_fin_roe_dt,indiv_fin_roa,indiv_fin_npta,indiv_fin_roic,indiv_fin_roe_yearly,indiv_fin_roa2_yearly,indiv_fin_debt_to_assets,indiv_fin_assets_to_eqt,indiv_fin_dp_assets_to_eqt,indiv_fin_ca_to_assets,indiv_fin_nca_to_assets,indiv_fin_tbassets_to_totalassets,indiv_fin_int_to_talcap,indiv_fin_eqt_to_talcapital,indiv_fin_currentdebt_to_debt,indiv_fin_longdeb_to_debt,indiv_fin_ocf_to_shortdebt,indiv_fin_debt_to_eqt,indiv_fin_eqt_to_debt,indiv_fin_eqt_to_interestdebt,indiv_fin_tangibleasset_to_debt,indiv_fin_tangasset_to_intdebt,indiv_fin_tangibleasset_to_netdebt,indiv_fin_ocf_to_debt,indiv_fin_turn_days,indiv_fin_roa_yearly,indiv_fin_roa_dp,indiv_fin_fixed_assets,indiv_fin_profit_to_op,indiv_fin_q_saleexp_to_gr,indiv_fin_q_gc_to_gr,indiv_fin_q_roe,indiv_fin_q_dt_roe,indiv_fin_q_npta,indiv_fin_q_ocf_to_sales,indiv_fin_basic_eps_yoy,indiv_fin_dt_eps_yoy,indiv_fin_cfps_yoy,indiv_fin_op_yoy,indiv_fin_ebt_yoy,indiv_fin_netprofit_yoy,indiv_fin_dt_netprofit_yoy,indiv_fin_ocf_yoy,indiv_fin_roe_yoy,indiv_fin_bps_yoy,indiv_fin_assets_yoy,indiv_fin_eqt_yoy,indiv_fin_tr_yoy,indiv_fin_or_yoy,indiv_fin_q_sales_yoy,indiv_fin_q_op_qoq,indiv_fin_equity_yoy
600036.SH,20250830,20250630,2.89,2.89,6.7395,6.7395,2.594,4.8633,26.0218,111000000.0,74819000000.0,,,,,,,,0.0137,66705000000.0,,,,,,,,,,,,,778919000000.0,2.9711,42.1012,5.33,30.8852,-2.4428,,,,44.364,,,,44.364,,30.1061,,,,52.3342,,5.9581,6.925,5.9492,,0.6079,,11.9162,,89.7539,9.7598,9.8635,,,,,,,,,8.7598,0.1135,,,,,0.0118,,1.2158,0.6041,125040000000.0,52.3072,,,2.9694,2.9725,0.3009,45.7387,0.0,0.0,24.24,-0.7941,-0.8199,0.2502,0.26,24.2938,-13.6703,1.54,4.1566,5.1565,-1.7208,-1.7208,-0.3583,0.967,16.1248
600036.SH,20250830,20250630,,,6.7395,6.7395,2.594,4.8633,26.0218,,,,,,,,,,0.0137,66705000000.0,,,,,,,,,,,,,778919000000.0,2.9711,42.1012,5.3316,30.8852,-2.4428,,,,44.364,,,,44.364,,30.1061,,,,52.3342,,5.9581,,,,0.6079,,11.9162,,89.7539,9.7598,9.8635,,,,,,,,,8.7598,0.1135,,,,,0.0118,,1.2158,0.6041,125040000000.0,52.3072,,,2.9694,,0.3009,45.7387,0.0,0.0,24.2797,-0.7941,-0.8199,0.2502,,24.2938,-13.6703,1.5512,4.1566,5.1565,-1.7208,-1.7208,-0.3583,0.967,16.1248
600036.SH,20250430,20250331,1.48,1.48,3.3208,3.3208,2.5943,4.8633,26.6137,150000000.0,37136000000.0,,,,,,,,0.0068,34837000000.0,,,,,,,,,,,,,793845000000.0,1.4784,42.2588,3.7679,31.477,-6.0919,,,,44.7911,,,,44.7911,,28.642,,,,52.8495,,3.0164,3.5325,3.0043,,0.304,,12.0656,,89.9929,9.9929,9.9837,,,,,,,,,8.9929,0.1105,,,,,0.0084,,1.216,0.3021,127606000000.0,52.8256,,,3.0164,3.0043,0.304,113.4625,-1.9868,-1.9868,7966.1795,-2.0427,-2.0935,-2.0774,-2.17,7966.3907,-12.0756,1.93,3.1086,1.647,-3.085,-3.085,-3.085,-1.2868,11.3714
600036.SH,20250326,20241231,5.66,5.66,13.3818,13.3818,2.5943,4.8633,25.142,380000000.0,148011000000.0,,,,,,,,0.0291,131944000000.0,,,,,,,,,,,,,756730000000.0,5.8839,41.4581,17.725,30.0053,6.2454,,,,44.3154,,,,44.3154,,31.8874,,,,53.0446,,12.8902,14.49,12.8572,,1.2904,,12.8902,,89.8496,9.8518,10.0681,,,,,,,,,8.8519,0.1123,,,,,0.0409,,1.2904,1.2803,128933000000.0,52.9358,,,2.9604,2.9437,0.2984,188.4783,0.5329,0.5329,24.9119,1.3336,1.1516,1.2203,1.34,24.953,-11.1344,12.94,10.1877,13.9027,-0.4821,-0.4821,7.5275,0.7256,13.9027
600036.SH,20241030,20240930,4.41,4.41,10.0202,10.0202,2.5945,4.3116,24.9823,181000000.0,113003000000.0,,,,,,,,0.0223,99234000000.0,,,,,,,,,,,,,738787000000.0,4.4879,39.7338,11.3892,29.2939,6.7981,,,,45.1266,,,,45.1266,,29.5783,,,,53.0966,,10.1561,11.535,10.1398,,1.0055,,13.5415,,90.0501,10.0504,10.1769,,,,,,,,,9.0504,0.1098,,,,,0.0274,,1.3407,0.998,123600000000.0,53.0547,,,3.3977,3.3923,0.3329,224.4785,-0.6757,-0.6757,435.408,-0.7787,-0.8218,-0.6199,-0.48,435.403,-12.717,8.23,5.6788,7.0754,-2.9084,-2.9084,-2.5116,0.0832,13.8596
600036.SH,20240830,20240630,2.89,2.89,6.8575,6.8575,2.5945,4.3116,23.4555,119000000.0,74624000000.0,,,,,,,,0.0153,62530000000.0,,,,,,,,,,,,,700282000000.0,2.9637,38.056,4.29,27.7671,5.4277,,,,43.5855,,,,43.5855,,29.7424,,,,51.8454,,6.8365,7.72,6.8256,,0.667,,13.673,,90.3495,10.3622,10.3373,,,,,,,,,9.3622,0.1062,,,,,0.0103,,1.334,0.6613,122694000000.0,51.8321,,,3.2896,3.2896,0.3199,126.4192,-1.3652,-1.3652,14.71,-1.3369,-1.3677,-1.332,-1.14,14.6558,-13.1598,3.68,4.9535,3.1442,-3.0903,-3.0903,-1.4757,-1.5625,13.6202
600036.SH,20240430,20240331,1.51,1.51,3.4265,3.4265,2.5945,4.3116,24.043,118000000.0,37959000000.0,,,,,,,,0.0077,32514000000.0,,,,,,,,,,,,,715098000000.0,1.5098,38.4031,-0.0479,28.3546,5.157,,,,44.4843,,,,44.4843,,28.3532,,,,52.2872,,3.4689,4.02,3.4582,,0.341,,13.8756,,90.2303,10.2357,10.2712,,,,,,,,,9.2357,0.1076,,,,,-0.0001,,1.364,0.3377,119358000000.0,52.2906,,,3.4689,3.4582,0.341,-1.3979,-1.9481,-1.9481,90.4257,-3.6403,-3.6113,-1.9619,-1.99,90.4264,-14.0421,4.6,4.4588,3.9573,-4.6549,-4.6549,-4.6549,9.0635,14.0536
600036.SH,20240430,20240331,,,3.4265,3.4265,2.5944,4.3115,24.0429,,,,,,,,,,0.0077,32514000000.0,,,,,,,,,,,,,715098000000.0,1.5098,38.4028,-0.0479,28.3544,5.157,,,,44.4843,,,,44.4843,,28.3532,,,,52.2872,,3.4689,,,,0.341,,13.8756,,90.2303,10.2357,10.2712,,,,,,,,,9.2357,0.1076,,,,,-0.0001,,1.364,0.3377,119358000000.0,52.2906,,,3.4689,,0.341,-1.3979,-1.9481,-1.9481,90.4257,-3.6403,-3.6113,-1.9619,,90.4264,-14.0421,4.5996,4.4588,3.9573,-4.6549,-4.6549,-4.6549,9.0635,14.0536
600036.SH,20240326,20231231,5.63,5.63,13.4467,13.4467,2.5945,4.3116,22.5367,555000000.0,146047000000.0,,,,,,,,0.032,142267000000.0,,,,,,,,,,,,,677109000000.0,5.813,36.7141,14.19,26.8483,1.2617,,,,43.6438,,,,43.6438,,32.9633,,,,52.0941,,14.5016,16.22,14.4467,,1.3984,,14.5016,,90.1552,10.1576,10.4692,,,,,,,,,9.1577,0.1083,,,,,0.036,,1.3984,1.3852,115417000000.0,52.0808,,,3.1324,3.1117,0.3045,385.7047,7.0342,7.0342,-37.24,6.9674,6.968,6.2241,6.18,-37.2521,-6.6908,12.23,8.7738,13.841,-1.6416,-1.6416,-1.3834,-6.5924,13.841
600036.SH,20231028,20230930,4.44,4.44,10.3204,10.3204,2.5946,3.7663,22.232,339000000.0,113551000000.0,,,,,,,,0.025,108601000000.0,,,,,,,,,,,,,655672000000.0,4.5159,35.3606,2.1272,25.9983,-6.6835,,,,44.1718,,,,44.1718,,30.0893,,,,51.9569,,11.6349,13.035,11.6002,,1.1051,,15.5132,,90.4262,10.4452,10.628,,,,,,,,,9.4451,0.1049,,,,,0.0056,,1.4735,1.0947,111944000000.0,51.9385,,,3.8342,3.8267,0.36,-49.7488,6.988,6.988,-63.3791,4.5279,4.4836,6.5169,6.52,-63.3787,-3.2329,8.0881,5.2185,7.0578,-1.7196,-1.7196,-4.5754,0.8343,10.0756
