indiv_margin_trade_date,indiv_margin_ts_code,indiv_margin_rzye,indiv_margin_rqye,indiv_margin_rzmre,indiv_margin_rqyl,indiv_margin_rzche,indiv_margin_rqchl,indiv_margin_rqmcl,indiv_margin_rzrqye
20251023,600036.SH,9416258553.0,39285312.0,202344940.0,930050.0,217303999.0,85000.0,116800.0,9455543865.0
20251022,600036.SH,9431217612.0,37681587.5,204312257.0,898250.0,152299137.0,108600.0,114800.0,9468899199.5
20251021,600036.SH,9379204492.0,37448259.0,151076691.0,892050.0,245486804.0,49300.0,203700.0,9416652751.0
20251020,600036.SH,9473614605.0,30553463.0,222582830.0,737650.0,166670519.0,58200.0,72600.0,9504168068.0
20251017,600036.SH,9417702294.0,30079967.5,241110026.0,723250.0,315945102.0,209100.0,51300.0,9447782261.5
20251016,600036.SH,9492537370.0,36942426.5,327569834.0,881050.0,340064392.0,29100.0,226800.0,9529479796.5
20251015,600036.SH,9505031928.0,28359025.0,202490224.0,683350.0,326829839.0,143600.0,68400.0,9533390953.0
20251014,600036.SH,9629371543.0,31297773.0,498832341.0,758550.0,450124741.0,36400.0,210900.0,9660669316.0
20251013,600036.SH,9580663943.0,23426245.5,280571247.0,584050.0,240180557.0,102300.0,60200.0,9604090188.5
20251010,600036.SH,9540273253.0,25158707.0,311275659.0,626150.0,277092919.0,50500.0,113100.0,9565431960.0
20251009,600036.SH,9505539775.0,22727971.5,331290099.0,563550.0,244737619.0,54900.0,51400.0,9528267746.5
20250930,600036.SH,9418987295.0,22914490.5,159197497.0,567050.0,183405104.0,111800.0,68500.0,9441901785.5
20250929,600036.SH,9443194902.0,24829038.0,285204193.0,610350.0,329318373.0,114600.0,42800.0,9468023940.0
20250926,600036.SH,9487309082.0,27831720.0,208834090.0,682150.0,235792347.0,89400.0,64300.0,9515140802.0
20250925,600036.SH,9514267339.0,28869945.0,236120359.0,707250.0,139791982.0,64500.0,70700.0,9543137284.0
20250924,600036.SH,9417938962.0,28967386.0,167642224.0,701050.0,200028361.0,164700.0,46000.0,9446906348.0
20250923,600036.SH,9450325099.0,34060612.5,276064516.0,819750.0,292421377.0,41500.0,146300.0,9484385711.5
20250922,600036.SH,9466681960.0,29255754.0,160490460.0,714950.0,121580895.0,122100.0,108400.0,9495937714.0
20250919,600036.SH,9427772395.0,29874650.0,224951281.0,728650.0,245828255.0,152000.0,140200.0,9457647045.0
20250918,600036.SH,9448649369.0,30232573.5,391759539.0,740450.0,205839018.0,56300.0,56600.0,9478881942.5
20250917,600036.SH,9262728848.0,30908664.0,173348655.0,740150.0,144542074.0,96000.0,23800.0,9293637512.0
20250916,600036.SH,9233922267.0,33915612.5,273085340.0,812350.0,139779245.0,103300.0,64700.0,9267837879.5
20250915,600036.SH,9100616172.0,35927109.0,250402409.0,850950.0,177511539.0,57600.0,56400.0,9136543281.0
