indiv_d_ts_code,indiv_d_trade_date,indiv_d_open,indiv_d_high,indiv_d_low,indiv_d_close,indiv_d_pre_close,indiv_d_change,indiv_d_pct_chg,indiv_d_vol,indiv_d_amount
600036.SH,20251023,265.13,268.54,264.05,266.96,265.13,1.829999999999984,0.69,713173.73,3004975.799
600036.SH,20251022,265.32,266.71,263.74,265.13,265.32,-0.18999999999999773,-0.07,551333.64,2311324.892
600036.SH,20251021,262.22,266.08,262.22,265.32,261.78,3.5400000000000205,1.35,759931.24,3184239.228
600036.SH,20251020,262.98,264.12,259.76,261.78,262.85,-1.07000000000005,-0.41,649477.29,2694843.445
600036.SH,20251017,264.69,266.83,261.53,262.85,265.0,-2.1499999999999773,-0.81,829827.05,3470670.301
600036.SH,20251016,262.28,265.38,259.95,265.0,262.28,2.7200000000000273,1.04,1062487.76,4427156.848
600036.SH,20251015,260.7,262.73,259.19,262.28,260.77,1.509999999999991,0.58,1062767.02,4392820.738
600036.SH,20251014,253.37,262.22,251.73,260.77,253.5,7.269999999999982,2.87,1733826.68,7102543.598
600036.SH,20251013,251.29,254.7,250.91,253.5,253.94,-0.4399999999999977,-0.17,1065936.17,4266014.498
600036.SH,20251010,254.7,256.91,253.63,253.94,254.89,-0.9499999999999886,-0.37,955049.79,3852817.637
600036.SH,20251009,254.13,255.58,251.67,254.89,255.4,-0.5100000000000193,-0.2,972319.53,3900217.891
600036.SH,20250930,256.91,257.8,255.4,255.4,257.1,-1.700000000000017,-0.66,700025.2,2836889.513
600036.SH,20250929,257.67,260.96,255.08,257.1,257.86,-0.7599999999999909,-0.29,835550.55,3407163.055
600036.SH,20250926,257.92,259.12,254.7,257.86,257.99,-0.12999999999999545,-0.05,682766.67,2773964.882
600036.SH,20250925,261.15,261.4,257.92,257.99,261.15,-3.159999999999968,-1.21,666948.87,2730478.547
600036.SH,20250924,262.28,264.75,260.96,261.15,262.6,-1.4500000000000455,-0.55,643899.51,2672303.416
600036.SH,20250923,259.0,263.86,256.79,262.6,258.62,3.980000000000018,1.54,938850.81,3891395.841
600036.SH,20250922,260.07,261.46,257.86,258.62,259.12,-0.5,-0.19,656110.3,2688228.051
600036.SH,20250919,257.86,262.47,256.28,259.12,258.05,1.0699999999999932,0.41,836563.07,3440376.826
600036.SH,20250918,264.05,264.43,257.86,258.05,263.93,-5.8799999999999955,-2.23,1003522.4,4131887.418
600036.SH,20250917,263.93,266.65,263.55,263.93,263.86,0.06999999999999318,0.03,572362.58,2392440.771
600036.SH,20250916,267.47,268.16,263.3,263.86,266.83,-2.9699999999999704,-1.11,859050.78,3600259.578
600036.SH,20250915,268.48,270.44,266.14,266.83,268.86,-2.0300000000000296,-0.76,699491.06,2964121.228
600036.SH,20250912,274.17,274.73,268.1,268.86,273.66,-4.800000000000011,-1.75,823140.03,3521647.843
600036.SH,20250911,272.59,273.85,270.37,273.66,271.76,1.900000000000034,0.7,650730.72,2804175.734
600036.SH,20250910,270.5,272.71,268.98,271.76,270.69,1.0699999999999932,0.4,471386.94,2022413.171
600036.SH,20250909,268.1,271.01,267.97,270.69,268.16,2.5299999999999727,0.94,589526.53,2515896.773
600036.SH,20250908,269.87,272.4,267.78,268.16,270.25,-2.089999999999975,-0.77,851681.62,3635065.671
600036.SH,20250905,271.76,271.89,268.79,270.25,272.08,-1.829999999999984,-0.67,572328.38,2449941.047
600036.SH,20250904,270.56,273.79,266.33,272.08,271.13,0.9499999999999886,0.35,935363.28,3997574.925
600036.SH,20250903,274.55,275.37,269.87,271.13,274.55,-3.420000000000016,-1.25,818405.6,3528703.354
600036.SH,20250902,264.56,274.92,264.56,274.55,265.32,9.230000000000018,3.48,1452141.14,6232062.12
600036.SH,20250901,269.36,269.49,264.69,265.32,271.07,-5.75,-2.12,1276333.29,5381676.513
600036.SH,20250829,271.64,278.02,271.07,271.07,271.64,-0.5699999999999932,-0.21,1360878.99,5896873.9
600036.SH,20250828,271.89,273.66,269.24,271.64,271.76,-0.12000000000000455,-0.04,822425.57,3530397.264
600036.SH,20250827,274.92,275.94,271.76,271.76,275.05,-3.2900000000000205,-1.2,758140.78,3280973.424
