indiv_sh_ts_code,indiv_sh_ann_date,indiv_sh_end_date,indiv_sh_holder_num
600036.SH,20250830,20250630,410379
600036.SH,20250430,20250331,434959
600036.SH,20250326,20250228,421011
600036.SH,20250326,20241231,459175
600036.SH,20241030,20240930,522103
600036.SH,20240830,20240630,565294
600036.SH,20240430,20240331,597008
600036.SH,20240326,20240229,608227
600036.SH,20240326,20231231,676450
600036.SH,20231028,20230930,593295
600036.SH,20230826,20230630,635943
600036.SH,20230427,20230331,624706
