indiv_din_ts_code,indiv_din_trade_date,indiv_din_close,indiv_din_turnover_rate,indiv_din_turnover_rate_f,indiv_din_volume_ratio,indiv_din_pe,indiv_din_pe_ttm,indiv_din_pb,indiv_din_ps,indiv_din_ps_ttm,indiv_din_dv_ratio,indiv_din_dv_ttm,indiv_din_total_share,indiv_din_float_share,indiv_din_free_share,indiv_din_total_mv,indiv_din_circ_mv
600036.SH,20251023,42.24,0.3457,0.5832,0.93,7.1789,7.1699,1.0533,3.1565,3.1846,4.6685,4.7349,2521984.5601,2062894.4429,1222783.368,106528627.8186,87136661.2681
600036.SH,20251022,41.95,0.2673,0.4509,0.63,7.1296,7.1207,1.0461,3.1348,3.1627,4.7008,4.7676,2521984.5601,2062894.4429,1222783.368,105797252.2962,86538421.8797
600036.SH,20251021,41.98,0.3684,0.6215,0.71,7.1347,7.1257,1.0469,3.1371,3.165,4.6974,4.7642,2521984.5601,2062894.4429,1222783.368,105872911.833,86600308.7129
600036.SH,20251020,41.42,0.3148,0.5311,0.56,7.0396,7.0307,1.0329,3.0952,3.1228,4.761,4.8286,2521984.5601,2062894.4429,1222783.368,104460600.4793,85445087.8249
600036.SH,20251017,41.59,0.4023,0.6786,0.71,7.0684,7.0595,1.0371,3.1079,3.1356,4.7415,4.8089,2521984.5601,2062894.4429,1222783.368,104889337.8546,85795779.8802
600036.SH,20251016,41.93,0.515,0.8689,0.92,7.1262,7.1173,1.0456,3.1334,3.1612,4.703,4.7699,2521984.5601,2062894.4429,1222783.368,105746812.605,86497163.9908
600036.SH,20251015,41.5,0.5152,0.8691,0.98,7.0531,7.0443,1.0349,3.1012,3.1288,4.7518,4.8193,2521984.5601,2062894.4429,1222783.368,104662359.2442,85610119.3804
600036.SH,20251014,41.26,0.8405,1.4179,1.91,7.0124,7.0035,1.0289,3.0833,3.1107,4.7794,4.8473,2521984.5601,2062894.4429,1222783.368,104057082.9497,85115024.7141
600036.SH,20251013,40.11,0.5167,0.8717,1.29,6.8169,6.8083,1.0002,2.9973,3.024,4.9164,4.9863,2521984.5601,2062894.4429,1222783.368,101156800.7056,82742696.1047
600036.SH,20251010,40.18,0.463,0.781,1.24,6.8288,6.8202,1.002,3.0026,3.0293,4.9079,4.9776,2521984.5601,2062894.4429,1222783.368,101333339.6248,82887098.7157
600036.SH,20251009,40.33,0.4713,0.7952,1.38,6.8543,6.8457,1.0057,3.0138,3.0406,4.8896,4.9591,2521984.5601,2062894.4429,1222783.368,101711637.3088,83196532.8822
600036.SH,20250930,40.41,0.3393,0.5725,0.93,6.8679,6.8593,1.0077,3.0198,3.0466,4.8799,4.9493,2521984.5601,2062894.4429,1222783.368,101913396.0736,83361564.4376
600036.SH,20250929,40.68,0.405,0.6833,1.16,6.9138,6.9051,1.0144,3.0399,3.067,4.8476,4.9164,2521984.5601,2062894.4429,1222783.368,102594331.9049,83918545.9372
600036.SH,20250926,40.8,0.331,0.5584,0.91,6.9342,6.9255,1.0174,3.0489,3.076,4.8333,4.902,2521984.5601,2062894.4429,1222783.368,102896970.0521,84166093.2703
600036.SH,20250925,40.82,0.3233,0.5454,0.82,6.9376,6.9288,1.0179,3.0504,3.0775,4.8309,4.8996,2521984.5601,2062894.4429,1222783.368,102947409.7433,84207351.1592
600036.SH,20250924,41.32,0.3121,0.5266,0.8,7.0226,7.0137,1.0304,3.0878,3.1152,4.7725,4.8403,2521984.5601,2062894.4429,1222783.368,104208402.0233,85238798.3806
600036.SH,20250923,41.55,0.4551,0.7678,1.2,7.0616,7.0528,1.0361,3.105,3.1326,4.7461,4.8135,2521984.5601,2062894.4429,1222783.368,104788458.4722,85713264.1025
