market_margin_trade_date,market_margin_exchange_id,market_margin_rzye,market_margin_rzmre,market_margin_rzche,market_margin_rqye,market_margin_rqmcl,market_margin_rzrqye,market_margin_rqyl
20251023,SSE,1232014143922.0,87283752227.0,88266825130.0,11776335634.0,95434219.0,1243790479556.0,2513866004.0
20251023,BSE,7546325838.0,465837903.0,2131609331.0,256724.0,0.0,7546582562.0,15963.0
20251023,SZSE,1194363047745.0,89111134100.0,89689955115.0,5344438567.0,28285854.0,1199707486312.0,707494545.0
20251022,SSE,1233014133480.0,92311656936.0,87809119806.0,11570949941.0,68070506.0,1244585083421.0,2471421527.0
20251022,BSE,7578077876.0,697843661.0,2348367069.0,386487.0,0.0,7578464363.0,20763.0
20251022,SZSE,1194953689422.0,92949588665.0,89210224848.0,5292761898.0,19233483.0,1200246451320.0,708035473.0
20251021,SSE,1228525092925.0,106180284118.0,99666620624.0,11675975979.0,90449409.0,1240201068904.0,2455842373.0
20251021,BSE,7611145383.0,673074885.0,2343983614.0,488191.0,14800.0,7611633574.0,23763.0
20251021,SZSE,1191148722318.0,110267814167.0,102854810972.0,5309099256.0,26302100.0,1196457821574.0,705214189.0
20251020,SSE,1222028591866.0,91899857188.0,93871187300.0,11595049315.0,98127688.0,1233623641181.0,2461805207.0
20251020,BSE,7464328608.0,399596067.0,2113483039.0,217084.0,0.0,7464545692.0,8963.0
20251020,SZSE,1183738100596.0,93689694592.0,95127209836.0,5171727934.0,31984000.0,1188909828530.0,701130805.0
20251017,SSE,1224047953848.0,99060620838.0,112762088032.0,11452181650.0,74108251.0,1235500135498.0,2427236269.0
20251017,BSE,7452675263.0,388801142.0,2050569435.0,216905.0,0.0,7452892168.0,8963.0
20251017,SZSE,1181334070444.0,99323898919.0,112773633186.0,5097664300.0,50605357.0,1186431734744.0,695973532.0
20251016,SSE,1237780502057.0,105436029927.0,104004562499.0,11822065473.0,103327180.0,1249602567530.0,2448724625.0
20251016,SZSE,1194794824359.0,109806172706.0,103603238015.0,5235819925.0,34071888.0,1200030644284.0,684896877.0
20251016,BSE,7562564302.0,502761729.0,2052504879.0,258826.0,1203.0,7562823128.0,10166.0
20251015,SSE,1236365992629.0,122594136669.0,120835302629.0,11675165490.0,63555324.0,1248041158119.0,2402981401.0
